qtr,area_title,own_title,total_qtrly_wages
1,Alabama -- Statewide,Federal Government,120617581
2,Alabama -- Statewide,Federal Government,132446432
1,Alabama -- Statewide,State Government,917996977
2,Alabama -- Statewide,State Government,947724305
1,Alabama -- Statewide,Local Government,1418398982
2,Alabama -- Statewide,Local Government,1402998981
1,Alabama -- Statewide,Private,2651326130
2,Alabama -- Statewide,Private,2759773797
1,"Autauga County, Alabama",State Government,0
2,"Autauga County, Alabama",State Government,0
1,"Autauga County, Alabama",Local Government,10378290
2,"Autauga County, Alabama",Local Government,10342403
1,"Autauga County, Alabama",Private,10322565
2,"Autauga County, Alabama",Private,9898264
1,"Baldwin County, Alabama",State Government,3907635
2,"Baldwin County, Alabama",State Government,4116578
1,"Baldwin County, Alabama",Local Government,45906899
2,"Baldwin County, Alabama",Local Government,45549309
1,"Baldwin County, Alabama",Private,112438958
2,"Baldwin County, Alabama",Private,117499390
1,"Barbour County, Alabama",State Government,0
2,"Barbour County, Alabama",State Government,0
1,"Barbour County, Alabama",Local Government,5225622
2,"Barbour County, Alabama",Local Government,5248299
1,"Barbour County, Alabama",Private,7159437
2,"Barbour County, Alabama",Private,7027130
1,"Bibb County, Alabama",State Government,0
2,"Bibb County, Alabama",State Government,0
1,"Bibb County, Alabama",Local Government,6547135
2,"Bibb County, Alabama",Local Government,6268624
1,"Bibb County, Alabama",Private,5029405
2,"Bibb County, Alabama",Private,4811220
1,"Blount County, Alabama",State Government,0
2,"Blount County, Alabama",State Government,0
1,"Blount County, Alabama",Local Government,11321995
2,"Blount County, Alabama",Local Government,11169668
1,"Blount County, Alabama",Private,9002293
2,"Blount County, Alabama",Private,8759669
1,"Bullock County, Alabama",State Government,0
2,"Bullock County, Alabama",State Government,0
1,"Bullock County, Alabama",Local Government,2048143
2,"Bullock County, Alabama",Local Government,2059211
1,"Bullock County, Alabama",Private,4723435
2,"Bullock County, Alabama",Private,4818867
1,"Butler County, Alabama",State Government,0
2,"Butler County, Alabama",State Government,0
1,"Butler County, Alabama",Local Government,4117935
2,"Butler County, Alabama",Local Government,4123345
1,"Butler County, Alabama",Private,8886940
2,"Butler County, Alabama",Private,9315518
1,"Calhoun County, Alabama",Federal Government,988077
2,"Calhoun County, Alabama",Federal Government,1071157
1,"Calhoun County, Alabama",State Government,16771784
2,"Calhoun County, Alabama",State Government,17683929
1,"Calhoun County, Alabama",Local Government,48125584
2,"Calhoun County, Alabama",Local Government,45073921
1,"Calhoun County, Alabama",Private,41491171
2,"Calhoun County, Alabama",Private,42937006
1,"Chambers County, Alabama",State Government,0
2,"Chambers County, Alabama",State Government,0
1,"Chambers County, Alabama",Local Government,10716810
2,"Chambers County, Alabama",Local Government,12175755
1,"Chambers County, Alabama",Private,7130604
2,"Chambers County, Alabama",Private,7363593
1,"Cherokee County, Alabama",State Government,0
2,"Cherokee County, Alabama",State Government,0
1,"Cherokee County, Alabama",Local Government,7691811
2,"Cherokee County, Alabama",Local Government,8000872
1,"Cherokee County, Alabama",Private,4165407
2,"Cherokee County, Alabama",Private,4736487
1,"Chilton County, Alabama",State Government,0
2,"Chilton County, Alabama",State Government,0
1,"Chilton County, Alabama",Local Government,9297113
2,"Chilton County, Alabama",Local Government,9358446
1,"Chilton County, Alabama",Private,9743211
2,"Chilton County, Alabama",Private,10145584
1,"Choctaw County, Alabama",State Government,0
2,"Choctaw County, Alabama",State Government,0
1,"Choctaw County, Alabama",Local Government,1840144
2,"Choctaw County, Alabama",Local Government,1839420
1,"Choctaw County, Alabama",Private,3787656
2,"Choctaw County, Alabama",Private,3795299
1,"Clarke County, Alabama",State Government,0
2,"Clarke County, Alabama",State Government,0
1,"Clarke County, Alabama",Local Government,7172704
2,"Clarke County, Alabama",Local Government,7070093
1,"Clarke County, Alabama",Private,8166105
2,"Clarke County, Alabama",Private,8128026
1,"Clay County, Alabama",State Government,0
2,"Clay County, Alabama",State Government,0
1,"Clay County, Alabama",Local Government,0
2,"Clay County, Alabama",Local Government,0
1,"Clay County, Alabama",Private,2358019
2,"Clay County, Alabama",Private,2592720
1,"Cleburne County, Alabama",State Government,0
2,"Cleburne County, Alabama",State Government,0
1,"Cleburne County, Alabama",Local Government,4395864
2,"Cleburne County, Alabama",Local Government,4575716
1,"Cleburne County, Alabama",Private,492965
